PTN核心链路名称,地市,备注,日期,省,链路带宽(10GE/40GE),链路日峰值利用率(填百分数),链路日峰值流速(Mb),链路日忙时均值利用率(填百分数),链路日忙时均值流速(Mb),分类
	#@!JIZCORELINK(69)$:8002-生产楼-L3-子架1-31-TPA1EX8S-2(PORT-2)-8020-锦都花城-主L2/L3-1-子架1-23-TPA1EX8-2(OTN4002-锦都花城021-TQX-3),焦作,0.0,20200302,河南,10,17.00%,1700.0,13.66%,1365.52,核心链路
	#@!JIZCORELINK(69)$:8020-锦都花城-主L2/L3-1-子架1-23-TPA1EX8-3(OTN4002-锦都花城020-TQX-4)-8002-生产楼-L3-子架1-31-TPA1EX8S-3(8008-生产楼020-TQX-4),焦作,0.0,20200302,河南,10,18.00%,1800.0,14.24%,1424.21,核心链路
	#@!JIZCORELINK(69)$:8020-锦都花城-主L2/L3-1-子架1-23-TPA1EX8-4(OTN4002-锦都花城020-TQX-2)-8002-生产楼-L3-子架1-31-TPA1EX8S-4(8008-生产楼021-TDX-1),焦作,0.0,20200302,河南,10,17.00%,1700.0,13.61%,1361.39,核心链路
	#@!JIZCORELINK(69)$:8020-锦都花城-主L2/L3-1-子架1-23-TPA1EX8-5(OTN4002-锦都花城021-TQX-1)-8002-生产楼-L3-子架1-31-TPA1EX8S-5(8008-生产楼025-TQX-1),焦作,0.0,20200302,河南,10,17.00%,1700.0,13.71%,1370.74,核心链路
	#@!JIZCORELINK(70)$:8019-温县-备L2/L3-2-子架1-21-TPA1EX8-1(PORT-1)-8020-锦都花城-主L2/L3-1-子架1-21-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,2.03%,203.0,2.02%,201.6,核心链路
	#@!JIZCORELINK(70)$:8019-温县-备L2/L3-2-子架1-22-TPA1EX8-1(PORT-1)-8020-锦都花城-主L2/L3-1-子架1-22-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,0.98%,98.0,0.28%,27.95,核心链路
	#@!JIZCORELINK(70)$:8020-锦都花城-主L2/L3-1-子架1-21-TPA1EX8-3(PORT-3)-8019-温县-备L2/L3-2-子架1-21-TPA1EX8-3(PORT-3),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(70)$:8020-锦都花城-主L2/L3-1-子架1-21-TPA1EX8-4(PORT-4)-8019-温县-备L2/L3-2-子架1-21-TPA1EX8-4(PORT-4),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(70)$:8020-锦都花城-主L2/L3-1-子架1-21-TPA1EX8-5(PORT-5)-8019-温县-备L2/L3-2-子架1-21-TPA1EX8-5(PORT-5),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(70)$:8020-锦都花城-主L2/L3-1-子架1-22-TPA1EX8-3(PORT-3)-8019-温县-备L2/L3-2-子架1-22-TPA1EX8-3(PORT-3),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.12,核心链路
	#@!JIZCORELINK(70)$:8020-锦都花城-主L2/L3-1-子架1-22-TPA1EX8-4(PORT-4)-8019-温县-备L2/L3-2-子架1-22-TPA1EX8-4(PORT-4),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.12,核心链路
	#@!JIZCORELINK(70)$:8020-锦都花城-主L2/L3-1-子架1-22-TPA1EX8-5(PORT-5)-8019-温县-备L2/L3-2-子架1-22-TPA1EX8-5(PORT-5),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.12,核心链路
	#@!JIZCORELINK(71)$:8000-高新-L3-子架1-31-TPA1EX8S-1(PORT-1)-8019-温县-备L2/L3-2-子架1-23-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.47,核心链路
	#@!JIZCORELINK(71)$:8000-高新-L3-子架1-31-TPA1EX8S-2(PORT-2)-8019-温县-备L2/L3-2-子架1-23-TPA1EX8-2(PORT-2),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.82,核心链路
	#@!JIZCORELINK(71)$:8019-温县-备L2/L3-2-子架1-23-TPA1EX8-3(OTN4001-温县412-TQX-1)-8000-高新-L3-子架1-31-TPA1EX8S-3(OTN8001-高新123-TQX-1),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.48,核心链路
	#@!JIZCORELINK(71)$:8019-温县-备L2/L3-2-子架1-23-TPA1EX8-4(OTN4001-温县413-TQX-1)-8000-高新-L3-子架1-31-TPA1EX8S-4(OTN8001-高新134-TQX-1),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.48,核心链路
	#@!JIZCORELINK(71)$:8019-温县-备L2/L3-2-子架1-23-TPA1EX8-5(OTN4001-温县412-TQX-3)-8000-高新-L3-子架1-31-TPA1EX8S-5(OTN8001-高新123-TQX-3),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.48,核心链路
	#@!JIZCORELINK(72)$:8002-生产楼-L3-子架1-30-TPA1EX8S-1(PORT-1)-8017-博爱-主L2/L3-1-子架1-23-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,16.00%,1600.0,13.57%,1357.0,核心链路
	#@!JIZCORELINK(72)$:8002-生产楼-L3-子架1-30-TPA1EX8S-2(PORT-2)-8017-博爱-主L2/L3-1-子架1-23-TPA1EX8-2(PORT-2),焦作,0.0,20200302,河南,10,17.00%,1700.0,13.74%,1374.31,核心链路
	#@!JIZCORELINK(72)$:8017-博爱-主L2/L3-1-子架1-23-TPA1EX8-3(TO OTN7001-博爱 -411-TQX-1)-8002-生产楼-L3-子架1-30-TPA1EX8S-3(OTN8002-生产楼120-TQX-1),焦作,0.0,20200302,河南,10,16.00%,1600.0,13.40%,1339.73,核心链路
	#@!JIZCORELINK(72)$:8017-博爱-主L2/L3-1-子架1-23-TPA1EX8-4(TO OTN7001-博爱 -411-TQX-2)-8002-生产楼-L3-子架1-30-TPA1EX8S-4(OTN8002-生产楼120-TQX-2),焦作,0.0,20200302,河南,10,16.00%,1600.0,13.62%,1361.74,核心链路
	#@!JIZCORELINK(72)$:8017-博爱-主L2/L3-1-子架1-23-TPA1EX8-5(TO OTN7001-博爱 -413-TQX-2)-8002-生产楼-L3-子架1-30-TPA1EX8S-5(OTN8002-生产楼133-TQX-4),焦作,0.0,20200302,河南,10,16.00%,1600.0,13.12%,1312.15,核心链路
	#@!JIZCORELINK(73)$:8018-铭源新城-备L2/L3-2-子架1-21-TPA1EX8-1(PORT-1)-8017-博爱-主L2/L3-1-子架1-21-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,2.20%,220.0,2.18%,218.19,核心链路
	#@!JIZCORELINK(73)$:8018-铭源新城-备L2/L3-2-子架1-21-TPA1EX8-3(PORT-3)-8017-博爱-主L2/L3-1-子架1-21-TPA1EX8-3(PORT-3),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(73)$:8018-铭源新城-备L2/L3-2-子架1-21-TPA1EX8-4(PORT-4)-8017-博爱-主L2/L3-1-子架1-21-TPA1EX8-4(PORT-4),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(73)$:8018-铭源新城-备L2/L3-2-子架1-21-TPA1EX8-5(PORT-5)-8017-博爱-主L2/L3-1-子架1-21-TPA1EX8-5(PORT-5),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(73)$:8018-铭源新城-备L2/L3-2-子架1-22-TPA1EX8-1(PORT-1)-8017-博爱-主L2/L3-1-子架1-22-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,0.09%,9.0,0.08%,7.82,核心链路
	#@!JIZCORELINK(73)$:8018-铭源新城-备L2/L3-2-子架1-22-TPA1EX8-3(PORT-3)-8017-博爱-主L2/L3-1-子架1-22-TPA1EX8-3(PORT-3),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.12,核心链路
	#@!JIZCORELINK(73)$:8018-铭源新城-备L2/L3-2-子架1-22-TPA1EX8-4(PORT-4)-8017-博爱-主L2/L3-1-子架1-22-TPA1EX8-4(PORT-4),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.12,核心链路
	#@!JIZCORELINK(73)$:8018-铭源新城-备L2/L3-2-子架1-22-TPA1EX8-5(PORT-5)-8017-博爱-主L2/L3-1-子架1-22-TPA1EX8-5(PORT-5),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.12,核心链路
	#@!JIZCORELINK(74)$:8000-高新-L3-子架1-30-TPA1EX8S-1(OTN-8010-gaoxin-22-TQX-2)-8018-铭源新城-备L2/L3-2-子架1-23-TPA1EX8-1(OTN8018-铭源新城022-TQX-2),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.47,核心链路
	#@!JIZCORELINK(74)$:8000-高新-L3-子架1-30-TPA1EX8S-2(OTN-8010-gaoxin-22-TQX-3)-8018-铭源新城-备L2/L3-2-子架1-23-TPA1EX8-2(OTN8018-铭源新城022-TQX-3),焦作,0.0,20200302,河南,10,0.01%,1.0,0.02%,1.67,核心链路
	#@!JIZCORELINK(74)$:8018-铭源新城-备L2/L3-2-子架1-23-TPA1EX8-3(TO OTN7002-铭源新城020-TQX-4)-8000-高新-L3-子架1-30-TPA1EX8S-3(OTN-8010-高新020-TQX-4),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.48,核心链路
	#@!JIZCORELINK(74)$:8018-铭源新城-备L2/L3-2-子架1-23-TPA1EX8-4(TO OTN7002-铭源新城020-TQX-3)-8000-高新-L3-子架1-30-TPA1EX8S-4(OTN-8010-高新021-TQX-2),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.48,核心链路
	#@!JIZCORELINK(74)$:8018-铭源新城-备L2/L3-2-子架1-23-TPA1EX8-5(TO OTN7002-铭源新城022-TQX-1)-8000-高新-L3-子架1-30-TPA1EX8S-5(OTN-8010-高新022-TQX-1),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.48,核心链路
	#@!JIZCORELINK(76)$:焦作市核心落地环3-1010-生产楼落地二:1001-生产楼核心1-子架1-10-TPA1EX8S-1(1010-生产楼12-EX2-1)-1010-生产楼落地2-子架1-10-TPA1EX8S-1(1001-生产楼13-EX2-1),焦作,0.0,20200302,河南,10,6.79%,679.0,4.43%,443.34,核心链路
	#@!JIZCORELINK(77)$:焦作市核心落地环3-1010-生产楼落地二:1015-生产楼核心3-子架1-10-TPA1EX8S-2(1010-生产楼-7-EX2-1)-1010-生产楼落地2-子架1-3-TPA1EX8S-1(1015-生产楼11-EX2-2),焦作,0.0,20200302,河南,10,14.00%,1400.0,12.25%,1225.03,核心链路
	#@!JIZCORELINK(7)$:8002-生产楼-L3-子架1-16-TPA1EX8S-1(PORT-1)-8015-沁阳-主L2/3-1-子架1-4-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,22.00%,2200.0,17.27%,1726.94,核心链路
	#@!JIZCORELINK(7)$:8002-生产楼-L3-子架1-16-TPA1EX8S-2(OTN8002-生产楼220-TQX-4)-8015-沁阳-主L2/3-1-子架1-4-TPA1EX8-2(OTN6001-沁阳414-TQX-3),焦作,0.0,20200302,河南,10,21.00%,2100.0,17.71%,1770.83,核心链路
	#@!JIZCORELINK(7)$:8002-生产楼-L3-子架1-16-TPA1EX8S-3(OTN8002-生产楼121-TQX-3)-8015-沁阳-主L2/3-1-子架1-4-TPA1EX8-3(OTN6001-沁阳411-TQX-3),焦作,0.0,20200302,河南,10,21.00%,2100.0,17.56%,1755.9,核心链路
	#@!JIZCORELINK(7)$:8002-生产楼-L3-子架1-16-TPA1EX8S-4(OTN8002-生产楼121-TQX-1)-8015-沁阳-主L2/3-1-子架1-4-TPA1EX8-4(OTN6001-沁阳411-TQX-1),焦作,0.0,20200302,河南,10,21.00%,2100.0,18.00%,1800.15,核心链路
	#@!JIZCORELINK(7)$:8002-生产楼-L3-子架1-16-TPA1EX8S-5(OTN8002-生产楼121-TQX-2)-8015-沁阳-主L2/3-1-子架1-4-TPA1EX8-5(OTN6001-沁阳411-TQX-2),焦作,0.0,20200302,河南,10,21.00%,2100.0,17.39%,1739.1,核心链路
	#@!JIZCORELINK(79)$:8020-锦都花城-主L2/L3-1-子架1-6-TPA1EX8-1(PORT-1)-4001-锦都花城-4-82EX2E-1(PORT-1),焦作,0.0,20200302,河南,10,38.00%,3800.0,34.18%,3418.13,核心链路
	#@!JIZCORELINK(79)$:8020-锦都花城-主L2/L3-1-子架1-6-TPA1EX8-2(PORT-2)-4001-锦都花城-4-82EX2E-2(PORT-2),焦作,0.0,20200302,河南,10,42.00%,4200.0,37.07%,3707.27,核心链路
	#@!JIZCORELINK(80)$:8019-温县-备L2/L3-2-子架1-6-TPA1EX8-1(PORT-1)-4000-温县-5-82EX2E-2(PORT-2),焦作,0.0,20200302,河南,10,0.48%,48.21,0.48%,48.23,核心链路
	#@!JIZCORELINK(80)$:8019-温县-备L2/L3-2-子架1-6-TPA1EX8-2(PORT-2)-4000-温县-14-82EX2E-2(PORT-2),焦作,0.0,20200302,河南,10,1.55%,155.0,0.97%,97.31,核心链路
	#@!JIZCORELINK(81)$:7000-博爱（替换）-子架1-3-TPA1EX8S-1(PORT-1)-8017-博爱-主L2/L3-1-子架1-6-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,39.00%,3900.0,34.19%,3418.98,核心链路
	#@!JIZCORELINK(81)$:7000-博爱（替换）-子架1-3-TPA1EX8S-2(PORT-2)-8017-博爱-主L2/L3-1-子架1-6-TPA1EX8-2(PORT-2),焦作,0.0,20200302,河南,10,41.00%,4100.0,36.00%,3599.97,核心链路
	#@!JIZCORELINK(82)$:8002-生产楼-L3-子架1-32-TPA1EX8S-1(PORT-1)-8021-修武-主L2/L3-子架1-23-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,12.00%,1200.0,9.84%,983.67,核心链路
	#@!JIZCORELINK(82)$:8002-生产楼-L3-子架1-32-TPA1EX8S-2(PORT-2)-8021-修武-主L2/L3-子架1-23-TPA1EX8-2(PORT-2),焦作,0.0,20200302,河南,10,12.00%,1200.0,9.43%,943.19,核心链路
	#@!JIZCORELINK(82)$:8021-修武-主L2/L3-子架1-23-TPA1EX8-3(TO OTN2001-修武412-TQX-2)-8002-生产楼-L3-子架1-32-TPA1EX8S-3(OTN8002-生产楼130-TQX-2 TO 8021-修武-23-EX8-3),焦作,0.0,20200302,河南,10,12.00%,1200.0,9.65%,964.61,核心链路
	#@!JIZCORELINK(82)$:8021-修武-主L2/L3-子架1-23-TPA1EX8-4(TO OTN2001-修武413-TQX-3)-8002-生产楼-L3-子架1-32-TPA1EX8S-5(OTN8002-生产楼035-TQX-2  TO 8021-修武-23-EX8-5),焦作,0.0,20200302,河南,10,12.00%,1200.0,9.84%,983.71,核心链路
	#@!JIZCORELINK(82)$:8021-修武-主L2/L3-子架1-23-TPA1EX8-5(TO OTN2001-修武413-TQX-2)-8002-生产楼-L3-子架1-32-TPA1EX8S-4(OTN8002-生产楼035-TQX-1 TO 8021-修武-23-EX8-4),焦作,0.0,20200302,河南,10,12.00%,1200.0,9.78%,977.94,核心链路
	#@!JIZCORELINK(83)$:8021-修武-主L2/L3-子架1-21-TPA1EX8-1(PORT-1)-8022-宁城大道-备L2/L3-子架1-21-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(83)$:8021-修武-主L2/L3-子架1-22-TPA1EX8-1(PORT-1)-8022-宁城大道-备L2/L3-子架1-22-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(83)$:8022-宁城大道-备L2/L3-子架1-21-TPA1EX8-3(PORT-3)-8021-修武-主L2/L3-子架1-21-TPA1EX8-3(PORT-3),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(83)$:8022-宁城大道-备L2/L3-子架1-21-TPA1EX8-4(PORT-4)-8021-修武-主L2/L3-子架1-21-TPA1EX8-4(PORT-4),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(83)$:8022-宁城大道-备L2/L3-子架1-21-TPA1EX8-5(PORT-5)-8021-修武-主L2/L3-子架1-21-TPA1EX8-5(PORT-5),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(83)$:8022-宁城大道-备L2/L3-子架1-22-TPA1EX8-3(PORT-3)-8021-修武-主L2/L3-子架1-22-TPA1EX8-3(PORT-3),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(83)$:8022-宁城大道-备L2/L3-子架1-22-TPA1EX8-4(PORT-4)-8021-修武-主L2/L3-子架1-22-TPA1EX8-4(PORT-4),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(83)$:8022-宁城大道-备L2/L3-子架1-22-TPA1EX8-5(PORT-5)-8021-修武-主L2/L3-子架1-22-TPA1EX8-5(PORT-5),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(84)$:8000-高新-L3-子架1-32-TPA1EX8S-1(PORT-1)-8022-宁城大道-备L2/L3-子架1-23-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(84)$:8000-高新-L3-子架1-32-TPA1EX8S-2(PORT-2)-8022-宁城大道-备L2/L3-子架1-23-TPA1EX8-2(PORT-2),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(84)$:8022-宁城大道-备L2/L3-子架1-23-TPA1EX8-3(TO OTN2002-宁城大道020-TQX-4)-8000-高新-L3-子架1-32-TPA1EX8S-3(OTN8009-高新020-TQX-4),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(84)$:8022-宁城大道-备L2/L3-子架1-23-TPA1EX8-4(TO OTN2002-宁城大道021-TQX-2)-8000-高新-L3-子架1-32-TPA1EX8S-4(OTN8009-高新022-TQX-2),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(84)$:8022-宁城大道-备L2/L3-子架1-23-TPA1EX8-5(PORT-5)-8000-高新-L3-子架1-32-TPA1EX8S-5(PORT-5),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(8)$:8015-沁阳-主L2/3-1-子架1-5-TPA1EX8-4(PORT-4)-8016-锦绣江南-备L2/3-2-子架1-5-TPA1EX8-4(PORT-4),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(8)$:8015-沁阳-主L2/3-1-子架1-5-TPA1EX8-5(PORT-5)-8016-锦绣江南-备L2/3-2-子架1-5-TPA1EX8-5(PORT-5),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.48,核心链路
	#@!JIZCORELINK(8)$:8015-沁阳-主L2/3-1-子架1-6-TPA1EX8-4(PORT-4)-8016-锦绣江南-备L2/3-2-子架1-6-TPA1EX8-4(PORT-4),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.12,核心链路
	#@!JIZCORELINK(8)$:8015-沁阳-主L2/3-1-子架1-6-TPA1EX8-5(PORT-5)-8016-锦绣江南-备L2/3-2-子架1-6-TPA1EX8-5(PORT-5),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.12,核心链路
	#@!JIZCORELINK(8)$:8016-锦绣江南-备L2/3-2-子架1-5-TPA1EX8-2(PORT-2)-8015-沁阳-主L2/3-1-子架1-5-TPA1EX8-2(PORT-2),焦作,0.0,20200302,河南,10,0.68%,68.0,0.54%,53.6,核心链路
	#@!JIZCORELINK(8)$:8016-锦绣江南-备L2/3-2-子架1-5-TPA1EX8-3(PORT-3)-8015-沁阳-主L2/3-1-子架1-5-TPA1EX8-3(PORT-3),焦作,0.0,20200302,河南,10,1.00%,100.0,0.23%,22.67,核心链路
	#@!JIZCORELINK(8)$:8016-锦绣江南-备L2/3-2-子架1-6-TPA1EX8-2(PORT-2)-8015-沁阳-主L2/3-1-子架1-6-TPA1EX8-2(PORT-2),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.72,核心链路
	#@!JIZCORELINK(8)$:8016-锦绣江南-备L2/3-2-子架1-6-TPA1EX8-3(PORT-3)-8015-沁阳-主L2/3-1-子架1-6-TPA1EX8-3(PORT-3),焦作,0.0,20200302,河南,10,0.01%,1.0,0.02%,1.72,核心链路
	#@!JIZCORELINK(8)$:LTE骨干调度环11-焦作市:8015-沁阳-子架1-6-TPA1EX8-1(PORT-1)-8016-锦绣江南-子架1-6-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,0.91%,91.0,0.29%,28.7,核心链路
	#@!JIZCORELINK(8)$:LTE骨干调度环11-焦作市:8016-锦绣江南L2/3-2-子架1-5-TPA1EX8-1(PORT-1)-8015-沁阳L2/3-1-子架1-5-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,2.38%,238.0,2.21%,220.85,核心链路
	#@!JIZCORELINK(9)$:8000-高新-L3-子架1-16-TPA1EX8S-1(OTN8001-高新123-TQX-2)-8016-锦绣江南-备L2/3-2-子架1-4-TPA1EX8-1(OTN4000-温县412-TDX-2),焦作,0.0,20200302,河南,10,0.92%,92.0,0.85%,84.91,核心链路
	#@!JIZCORELINK(9)$:8000-高新-L3-子架1-16-TPA1EX8S-2(OTN8010-高新021-TQX-4)-8016-锦绣江南-备L2/3-2-子架1-4-TPA1EX8-2(OTN6002-锦绣江南021-TQX-2),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.47,核心链路
	#@!JIZCORELINK(9)$:8000-高新-L3-子架1-16-TPA1EX8S-3(OTN8010-高新020-TQX-3)-8016-锦绣江南-备L2/3-2-子架1-4-TPA1EX8-3(OTN6002-锦绣江南020-TQX-3),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.47,核心链路
	#@!JIZCORELINK(9)$:8016-锦绣江南-备L2/3-2-子架1-4-TPA1EX8-4(OTN6002-锦绣江南023-TQX-1)-8000-高新-L3-子架1-16-TPA1EX8S-4(OTN8010-高新023-TQX-1),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.48,核心链路
	#@!JIZCORELINK(9)$:8016-锦绣江南-备L2/3-2-子架1-4-TPA1EX8-5(OTN6002-锦绣江南023-TQX-2)-8000-高新-L3-子架1-16-TPA1EX8S-5(OTN8010-高新023-TQX-2),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.48,核心链路
LTE骨干调度环1-焦作市:8000-高新-L3-子架1-1-TPA1EX8S-1(TO-GX-PTN6900-16-2-XGE1/0/0)-8001-高新-L2/L3-子架1-0(GigabitEthernet1/0/0),焦作,0.0,20200302,河南,10,0.02%,2.22,0.02%,2.22,核心链路
LTE骨干调度环1-焦作市:8002-生产楼-L3-子架1-1-TPA1EX8S-1(TO-SCL-PTN6900-16-2-XGE1/0/0)-8003-生产楼-L2/L3-子架1-0(GigabitEthernet1/0/0),焦作,0.0,20200302,河南,10,0.45%,45.0,0.12%,12.2,核心链路
LTE骨干调度环1-焦作市:8002-生产楼-L3-子架1-3-TPA1EX8S-1(TO-GX-PTN6900-16-1-XGE6/0/0)-8000-高新-L3-子架1-3-TPA1EX8S-1(TO-SCL-PTN6900-16-1-XGE6/0/0),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.0,核心链路
武陟县汇聚环5-武陟机房2:3003-澳通苑1-子架1-4-TPA1EX8S-5(PORT-5)-3011-武陟机房2-11-82EX2-1(PORT-1),焦作,0.0,20200302,河南,10,7.39%,739.0,5.64%,563.7,核心链路
武陟县汇聚环5-武陟机房2:3011-武陟2-8-82EX2-1(Port-1)-3000-武陟-13-82EX2-1(Port-1),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
武陟县汇聚环6(LTE叠加)-武陟机房2:3003-澳通苑1-子架1-4-TPA1EX8S-6(PORT-6)-3011-武陟机房2-11-82EX2-2(PORT-2),焦作,0.0,20200302,河南,10,7.56%,756.0,6.03%,603.43,核心链路
武陟县汇聚环6(LTE叠加)-武陟机房2:3011-武陟机房2-8-82EX2-2(PORT-2)-3000-武陟-13-82EX2-2(PORT-2),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
